time,omega_x,omega_y
0.0,2.820098283776412,2.2156350265875755
0.01,2.8008807881236386,2.2224019159048436
0.02,2.7952500354739165,2.2356565659803853
0.03,2.8718967590927016,2.273042806135039
0.04,2.9367286374644093,2.3101264141641127
0.05,2.93194921135589,2.3318814648737134
0.06,2.958012571084111,2.3641010744630866
0.07,3.0598541690065955,2.418130791156304
0.08,3.130706835929419,2.4661247712775305
0.09,3.1374717557832503,2.499302234238541
0.1,3.189754123930627,2.545679727706038
0.11,3.306185748467325,2.609687949399046
0.12,3.373565184632843,2.661727722474525
0.13,3.3854749286558694,2.699823960261262
0.14,3.4544012703920575,2.7526524469452154
0.15,3.5716737497125517,2.817534575576078
0.16,3.6242935673444205,2.8648969310412498
0.17,3.632984152259573,2.89975328619137
0.18,3.7066926496299764,2.9498498976192797
0.19,3.810040582237776,3.0056263786667126
0.2,3.836865384931312,3.039319912885023
0.21,3.833924201152689,3.0627156739567933
0.22,3.900409519314767,3.10109597539185
0.23,3.976370621023323,3.138641686174121
0.24,3.9687104169650804,3.151074457245313
0.25,3.947592862696298,3.1563320247156987
0.26,3.9967881480519516,3.175828377301575
0.27,4.035310859236414,3.1884553549300745
0.28,3.9885782673959955,3.174872833155473
0.29,3.946152029250037,3.1581751126687907
0.3,3.9715747825461927,3.154703989147615
0.31,3.967548621734097,3.139312644297097
0.32,3.882347296839719,3.0987398124656393
0.33,3.8197613584003274,3.0599131228119645
0.34,3.8194331980108185,3.0331620001284465
0.35000000000000003,3.773379642489981,2.990754411927542
0.36,3.6557103778883353,2.926265591848191
0.37,3.57841276488352,2.868880173065808
0.38,3.5549004620230105,2.8222921323797165
0.39,3.472712452335077,2.757757045510171
0.4,3.333241421042757,2.6760193121253275
0.41000000000000003,3.250129856412796,2.6067856910695864
0.42,3.2097194498803487,2.5468494719629544
0.43,3.101507596750033,2.4680609967376426
0.44,2.954010404735462,2.378229520524423
0.45,2.87586384181084,2.305799338625864
0.46,2.8270407814036886,2.240780501275665
0.47000000000000003,2.705303087905881,2.1571770420339953
0.48,2.564547868788917,2.0693391211650596
0.49,2.5020239810690184,2.00272957683236
0.5,2.453560429418929,1.9410811354631465
0.51,2.3310110121424454,1.861984982420727
0.52,2.2104463541961548,1.7854321955442187
0.53,2.1720150382206347,1.7323636508420475
0.54,2.131037120299255,1.6811132050659685
0.55,2.0184865694527363,1.6140973787966078
0.56,1.928136842868975,1.5557370515425866
0.5700000000000001,1.9183367403755518,1.5211906091820866
0.58,1.888746548190522,1.4846048647445533
0.59,1.7934120367597723,1.434203817137558
0.6,1.7383468791134744,1.3973960108558234
0.61,1.7566974347820687,1.382658740509311
0.62,1.7382566966039172,1.3614346934573807
0.63,1.662796689051197,1.3284312507961715
0.64,1.642439446794954,1.3124602986952065
0.65,1.6832248049340452,1.314837385236684
0.66,1.6714819283651186,1.3059718516982903
0.67,1.613913874691719,1.2873861771176167
0.68,1.6223041919604009,1.2876605147606077
0.6900000000000001,1.675288378024095,1.3009120673767345
0.7000000000000001,1.6623712560676376,1.2982756291245898
0.71,1.6168662187764586,1.2880525863918646
0.72,1.6438219000194196,1.2969943265243842
0.73,1.6957858194277908,1.3124221684315802
0.74,1.6719188333085733,1.307933076617656
0.75,1.630304882124828,1.2981959608600062
0.76,1.66326853343203,1.3066565338886473
0.77,1.700109217014093,1.3146472427952747
0.78,1.6555746443448776,1.2998293924199418
0.79,1.6092508688264675,1.2824641242559507
0.8,1.6354866084756938,1.2814072122486133
0.81,1.6445153308573561,1.2731538240289415
0.8200000000000001,1.5716925331963036,1.2407910947697391
0.8300000000000001,1.5135815025940307,1.2090646996755707
0.84,1.5223279577060618,1.1912099914154448
0.85,1.4943654266701185,1.1603015019002758
0.86,1.389461978076505,1.1058818062349867
0.87,1.3156239196222494,1.0557933545343376
0.88,1.2998223279937184,1.016923012399307
0.89,1.2307232482775876,0.9605142462978328
0.9,1.0948643844423824,0.8831940829453436
0.91,1.0054619458930336,0.8143062452700881
0.92,0.9627598822530836,0.7539987990118135
0.93,0.8540997606385615,0.6733491096032496
0.9400000000000001,0.6935568467712748,0.5762564836942541
0.9500000000000001,0.5929828202355225,0.4918522431071284
0.96,0.5258496617449759,0.4135143333315448
0.97,0.3846555349018908,0.3137980947401411
0.98,0.2101498986400801,0.2036124196600173
0.99,0.10628880358987436,0.11014653284195974
