timestamps,TP9,AF7,AF8,TP10,Right AUX
1641936866.175,59.082,46.875,172.363,65.430,45.898
1641936866.179,35.645,29.297,-184.570,70.801,5.371
1641936866.183,-3.906,48.340,-227.539,51.270,11.230
1641936866.187,-9.766,57.129,135.254,33.203,44.434
1641936866.191,13.184,37.109,45.410,51.270,58.594
1641936866.195,9.277,43.945,-123.535,56.641,41.016
1641936866.199,-26.367,60.547,-76.172,30.762,62.012
1641936866.202,-30.273,64.453,53.223,-0.977,83.496
1641936866.206,2.441,45.898,-12.207,7.812,72.754
1641936866.210,20.020,27.344,-355.957,35.156,25.879
1641936866.214,13.672,49.805,-186.035,23.926,13.672
1641936866.218,2.441,57.617,229.492,-5.859,62.988
1641936866.218,2.441,57.617,229.492,-5.859,62.988
1641936866.220,17.090,43.457,116.699,-20.020,51.270
1641936866.224,51.758,48.828,50.293,9.766,32.227
1641936866.228,51.758,55.664,149.902,28.320,59.082
1641936866.232,27.344,52.734,140.137,17.090,66.895
1641936866.236,36.133,41.992,70.801,17.090,64.453
1641936866.240,65.918,35.156,-31.738,25.391,79.102
1641936866.244,68.359,42.480,-14.648,37.598,85.938
1641936866.247,44.922,45.898,161.621,30.762,74.219
1641936866.251,21.973,26.855,-87.402,18.066,39.062
1641936866.255,38.574,29.785,-204.102,30.762,12.207
1641936866.259,58.105,45.898,158.691,46.387,39.551
1641936866.263,26.855,35.156,75.195,50.293,39.551
1641936866.265,2.441,40.039,-53.223,39.062,34.180
1641936866.269,22.461,62.500,89.355,33.203,103.027
1641936866.273,44.434,61.035,218.262,58.594,126.953
1641936866.277,32.227,48.828,165.039,61.035,105.957
1641936866.281,9.766,47.363,93.750,38.574,52.734
1641936866.285,14.648,41.016,15.625,37.598,17.090
1641936866.289,37.598,41.016,33.203,43.945,9.766
1641936866.292,39.062,34.668,95.703,55.176,41.992
1641936866.296,20.508,32.227,-169.922,30.273,45.410
1641936866.300,40.039,57.617,-20.020,10.254,64.453
1641936866.304,73.730,48.340,222.168,32.227,131.348
1641936866.308,83.008,41.016,56.641,41.504,78.125
1641936866.310,67.383,49.805,41.992,31.738,52.246
1641936866.314,54.688,43.457,28.320,13.184,58.594
1641936866.318,67.871,45.898,3.418,6.348,35.156
1641936866.322,75.195,44.922,-21.973,45.898,50.781
1641936866.326,48.340,49.316,-51.758,63.477,71.289
1641936866.330,25.879,55.664,14.160,22.461,65.430
1641936866.334,37.598,49.805,8.789,3.418,74.219
1641936866.337,50.781,35.156,-172.363,25.879,50.293
1641936866.341,34.180,46.387,-183.594,32.715,27.344
1641936866.345,15.137,63.477,164.551,10.254,73.242
1641936866.349,21.973,50.781,177.246,9.277,70.312
1641936866.353,47.363,46.875,27.832,19.531,26.367
1641936866.355,43.945,49.316,43.457,0.488,42.969
1641936866.359,23.926,51.270,108.398,-14.160,47.363
1641936866.363,24.902,42.969,-5.371,-3.418,16.113
1641936866.367,47.363,45.410,-24.414,20.996,70.801
1641936866.371,59.570,52.734,53.711,29.297,55.176
1641936866.375,40.039,43.457,-62.500,15.137,5.371
1641936866.379,27.832,36.621,-127.441,-2.930,5.371
1641936866.382,45.898,31.250,-360.352,-1.953,-50.293
1641936866.386,70.312,53.223,-238.281,22.949,-36.621
1641936866.390,55.664,70.801,182.617,29.785,2.930
1641936866.394,33.691,58.105,82.031,20.020,-21.973
1641936866.398,42.969,54.688,-6.836,19.531,-24.902
1641936866.400,60.547,67.383,199.219,34.180,4.395
1641936866.404,48.340,67.383,212.402,36.621,29.785
1641936866.408,17.090,64.453,50.781,17.090,24.902
1641936866.412,18.066,62.988,36.621,10.742,-20.508
1641936866.416,45.410,60.059,104.492,28.809,-8.789
1641936866.420,46.387,55.664,41.992,45.898,0.488
1641936866.424,7.812,51.758,-191.895,21.973,-18.066
1641936866.427,-4.883,60.547,-251.953,-2.441,11.719
1641936866.431,36.621,70.312,56.152,16.602,13.672
1641936866.435,41.504,70.801,113.281,30.762,-8.789
1641936866.439,11.230,74.707,15.137,31.250,7.324
1641936866.443,1.465,79.590,98.633,6.348,26.367
1641936866.445,24.902,82.031,210.449,-0.488,25.879
1641936866.449,41.016,75.684,152.344,26.855,34.668
1641936866.453,24.414,78.613,99.121,29.785,41.504
1641936866.457,19.531,90.332,127.930,14.160,9.277
1641936866.461,37.598,89.844,161.621,6.348,62.500
1641936866.465,47.852,75.195,49.316,21.973,82.520
1641936866.469,29.785,72.266,-209.961,32.227,3.418
