timestamps,TP9,AF7,AF8,TP10,Right AUX
1642553905.224,23.438,19.531,6.836,34.180,11.719
1642553905.227,26.367,25.391,34.180,22.949,16.113
1642553905.231,43.945,28.809,56.152,22.461,33.203
1642553905.235,57.617,20.508,41.504,40.527,20.996
1642553905.239,63.965,25.391,44.922,45.410,22.461
1642553905.243,50.781,23.926,65.918,37.598,25.879
1642553905.246,50.781,19.043,58.594,34.668,34.180
1642553905.250,62.012,23.438,25.879,34.180,40.039
1642553905.254,58.105,23.438,25.391,39.551,64.453
1642553905.258,44.434,20.996,40.039,38.574,56.152
1642553905.262,35.156,20.020,33.203,37.598,35.645
1642553905.266,33.691,25.391,-0.977,36.621,12.207
1642553905.270,32.715,24.414,10.254,39.551,-29.785
1642553905.273,34.668,24.414,49.316,38.574,-35.645
1642553905.277,28.809,33.203,51.270,32.227,6.348
1642553905.281,21.973,40.039,28.809,22.949,8.301
1642553905.285,39.062,33.691,34.668,21.973,26.367
1642553905.289,41.016,31.738,47.363,25.391,87.402
1642553905.306,21.973,30.273,36.133,15.137,88.379
1642553905.310,29.785,29.297,38.086,17.578,101.562
1642553905.314,43.945,33.203,38.574,26.855,83.496
1642553905.318,46.387,25.391,54.199,28.320,38.086
1642553905.322,31.250,27.832,57.129,23.926,47.363
1642553905.326,27.832,32.227,16.113,23.438,-3.906
1642553905.330,34.180,27.344,28.809,24.902,-34.668
1642553905.333,29.297,28.809,65.918,20.996,-5.371
1642553905.337,11.719,29.297,37.109,18.555,-8.301
1642553905.341,5.371,25.879,24.414,21.973,4.395
1642553905.345,23.926,25.391,49.316,18.555,27.832
1642553905.349,28.320,30.762,49.805,18.066,17.578
1642553905.350,13.672,32.227,44.922,27.344,4.395
1642553905.354,4.395,24.902,45.898,26.367,46.387
1642553905.358,15.625,22.461,51.758,23.438,44.922
1642553905.362,33.203,23.926,48.828,30.762,27.832
1642553905.366,23.438,29.297,19.531,34.180,10.254
1642553905.370,10.742,40.527,9.277,34.180,-30.762
1642553905.374,20.020,48.828,39.062,26.855,-10.742
1642553905.377,36.621,42.480,56.152,28.809,-11.719
1642553905.381,28.320,38.086,13.672,31.738,-37.598
1642553905.385,20.020,29.785,10.254,37.598,-33.203
1642553905.389,40.527,29.785,47.852,45.410,-16.602
1642553905.393,49.316,38.086,30.762,36.133,-24.902
1642553905.396,47.363,38.086,28.809,36.621,7.324
1642553905.400,28.320,35.645,38.574,44.434,10.254
1642553905.404,15.625,35.156,53.223,36.133,4.395
1642553905.408,19.043,35.645,44.434,20.508,27.832
1642553905.412,19.531,38.086,28.320,23.438,37.109
1642553905.416,24.414,36.133,29.297,39.551,61.035
1642553905.420,30.762,32.715,28.320,48.340,41.504
1642553905.423,44.922,41.992,33.691,51.758,19.043
1642553905.427,33.691,53.223,5.859,34.180,-1.953
1642553905.431,18.066,48.828,8.301,16.602,-50.293
1642553905.435,19.531,42.969,46.387,20.508,-35.156
1642553905.439,24.414,42.480,24.902,30.273,-32.227
1642553905.440,35.645,40.039,14.160,42.480,-34.668
1642553905.444,30.273,32.227,43.457,39.551,20.996
1642553905.448,12.207,29.785,45.410,25.879,39.062
1642553905.452,2.441,34.668,14.160,17.090,21.484
1642553905.456,17.090,37.598,13.672,13.672,19.531
1642553905.460,32.227,35.645,17.090,23.926,18.555
1642553905.464,28.320,33.203,20.996,30.762,34.668
1642553905.467,14.648,34.668,5.859,16.602,61.523
1642553905.471,16.602,32.227,5.859,4.883,41.016
1642553905.475,34.668,35.645,40.527,19.043,54.688
1642553905.479,31.250,40.039,34.180,26.367,61.523
1642553905.483,23.926,37.598,22.949,11.230,2.930
1642553905.485,35.156,34.668,38.574,13.672,-9.766
1642553905.489,50.293,31.738,50.781,25.391,15.625
1642553905.493,53.711,31.738,41.992,28.320,41.016
1642553905.497,39.062,39.062,33.691,30.273,66.895
1642553905.501,41.992,42.480,27.344,28.809,17.090
1642553905.505,47.363,42.969,27.832,30.762,-5.859
