timestamps,TP9,AF7,AF8,TP10,Right AUX
1641437121.718,8.301,48.828,176.758,161.621,11.230
1641437121.722,-28.809,44.922,119.141,-17.578,18.555
1641437121.726,6.348,43.457,-119.629,9.766,-0.977
1641437121.730,52.246,37.598,12.207,163.086,-24.902
1641437121.734,30.762,32.715,354.980,135.254,-12.695
1641437121.738,-12.207,33.691,102.051,-61.035,-65.918
1641437121.741,-2.441,36.133,-266.602,-77.148,-87.402
1641437121.745,38.574,38.086,-110.840,78.125,0.000
1641437121.749,47.363,39.062,428.223,116.211,66.895
1641437121.753,3.418,37.598,366.699,-80.566,29.297
1641437121.757,-3.906,36.133,44.922,-179.199,-37.598
1641437121.761,49.805,32.715,83.984,-25.879,-11.230
1641437121.765,17.578,30.273,168.945,-56.152,14.648
1641437121.769,0.000,31.738,-127.441,-203.125,-82.520
1641437121.773,44.434,33.203,-63.477,-92.773,-52.246
1641437121.777,74.707,36.133,122.559,80.078,51.758
1641437121.781,39.551,39.551,67.871,16.113,36.133
1641437121.784,-2.930,38.086,-440.430,-137.695,-67.871
1641437121.788,23.438,41.016,-441.895,-99.121,-63.477
1641437121.792,73.730,43.945,105.469,73.242,51.270
1641437121.796,56.641,34.180,147.949,82.520,63.477
1641437121.800,-0.977,23.926,-7.324,-97.656,71.289
1641437121.804,6.348,30.273,3.906,-127.930,72.266
1641437121.809,58.594,41.016,148.438,26.367,104.004
1641437121.813,60.059,39.062,199.707,86.914,151.367
1641437121.817,6.836,34.180,3.906,-72.266,55.176
1641437121.821,2.930,36.133,-46.387,-159.668,21.484
1641437121.825,55.664,37.598,34.668,-23.926,15.137
1641437121.829,74.707,37.598,31.250,88.867,-4.883
1641437121.832,24.414,41.992,-129.395,-30.762,-0.977
1641437121.836,-1.953,44.434,-264.648,-162.598,-36.133
1641437121.840,36.621,32.227,-121.094,-75.684,-27.832
1641437121.844,62.988,26.855,-50.293,70.801,-6.348
1641437121.848,28.320,36.133,-35.645,2.930,-12.695
1641437121.852,-14.648,39.551,-108.887,-180.664,-26.855
1641437121.866,5.371,38.086,-200.684,-141.113,-11.230
1641437121.870,49.805,40.039,-168.945,43.457,-7.324
1641437121.874,39.551,42.480,-42.480,56.152,4.883
