timestamps,TP9,AF7,AF8,TP10,Right AUX
1642605461.625,18.066,25.391,-71.289,23.438,47.363
1642605461.629,4.883,23.926,-156.738,10.742,70.312
1642605461.633,9.277,24.414,-229.492,20.996,26.855
1642605461.637,20.020,27.344,-112.793,28.320,23.926
1642605461.641,18.555,30.273,22.461,28.809,27.344
1642605461.645,12.695,28.809,-152.344,26.855,-7.812
1642605461.649,13.672,24.902,-515.625,19.531,-24.414
1642605461.652,21.484,30.762,-336.426,26.855,-2.930
1642605461.656,22.949,39.551,76.172,36.621,32.227
1642605461.660,10.742,35.645,-73.242,28.809,21.484
1642605461.664,10.254,34.668,-215.332,24.902,3.906
1642605461.668,21.484,37.598,-81.543,28.809,10.742
1642605461.684,27.344,36.133,54.688,38.086,46.387
1642605461.688,22.461,34.180,-79.590,38.086,23.926
1642605461.692,14.648,34.668,-152.832,29.297,38.086
1642605461.696,25.879,37.109,-101.074,37.109,63.965
1642605461.700,38.574,36.621,-67.871,46.387,59.082
1642605461.704,25.879,37.109,-275.391,39.551,-11.230
1642605461.708,15.625,38.086,-612.793,28.320,-57.617
1642605461.711,20.996,38.574,-280.273,20.996,-2.930
1642605461.715,22.461,33.691,32.715,27.344,28.320
1642605461.719,20.508,30.273,-74.707,35.156,29.785
1642605461.723,9.277,37.109,-49.805,21.484,51.758
1642605461.727,8.789,39.062,16.113,13.672,52.246
1642605461.729,10.742,33.691,-49.805,15.137,61.523
1642605461.733,6.836,35.645,-163.574,14.160,33.203
1642605461.737,1.465,40.527,-126.953,11.230,25.391
1642605461.741,-7.812,37.598,-41.504,-0.977,38.574
1642605461.745,6.836,35.156,-141.602,-2.930,4.395
1642605461.749,17.090,35.156,-288.086,2.930,2.930
1642605461.753,1.465,29.297,-358.887,3.906,-3.418
1642605461.756,-3.418,31.250,-346.191,3.418,-12.207
1642605461.760,9.277,36.133,-312.988,1.465,-10.254
1642605461.764,14.648,31.738,-606.934,7.812,-9.277
1642605461.768,15.625,35.645,-574.707,15.137,0.000
1642605461.772,17.578,41.504,-243.652,7.812,-17.578
1642605461.775,17.090,40.039,-251.953,6.836,-19.531
1642605461.779,20.508,32.715,-247.559,20.508,7.324
1642605461.783,19.043,30.762,-105.957,27.344,73.730
1642605461.787,10.254,36.621,-29.785,15.625,110.352
1642605461.791,9.277,33.691,-186.523,8.301,62.012
1642605461.795,16.602,28.809,-281.250,19.531,55.176
1642605461.799,21.484,32.715,-291.992,23.926,46.875
1642605461.802,20.020,36.621,-199.219,21.973,3.418
1642605461.806,9.277,28.320,-333.008,5.859,-17.090
1642605461.810,13.184,27.832,-559.570,0.977,-52.246
1642605461.814,27.832,37.109,-167.480,18.555,-0.977
1642605461.818,22.461,33.203,9.766,18.555,28.809
1642605461.820,12.207,28.320,-190.430,4.395,-12.695
1642605461.824,18.555,33.691,-153.809,0.488,0.000
1642605461.828,25.391,38.574,-17.090,10.254,2.441
1642605461.832,19.531,34.180,-35.156,16.602,-1.953
1642605461.836,9.766,31.250,-107.910,4.883,-14.648
1642605461.840,12.695,34.668,-220.703,-0.977,8.789
1642605461.844,25.391,33.203,-223.633,9.766,2.930
1642605461.847,28.809,34.668,-100.586,20.508,-19.043
1642605461.851,21.484,31.250,-376.465,15.137,-35.645
1642605461.855,19.531,29.297,-354.492,9.277,-43.457
1642605461.859,36.621,38.086,-71.777,20.508,-14.648
1642605461.863,45.898,37.598,-175.781,30.762,6.836
1642605461.865,41.016,33.691,-250.977,29.785,6.836
1642605461.869,38.086,34.668,-106.445,24.902,9.277
1642605461.873,42.480,42.969,-9.277,22.949,33.203
1642605461.877,38.086,46.875,-127.930,17.090,-25.879
1642605461.881,27.344,44.434,-150.391,16.113,-28.809
1642605461.885,15.625,42.969,-151.367,16.602,-4.883
1642605461.889,17.090,43.945,-128.906,16.113,-56.641
1642605461.892,20.996,41.504,-286.133,26.367,-94.727
1642605461.896,11.719,33.691,-546.387,28.320,-108.398
1642605461.900,8.789,35.645,-190.430,17.090,-62.988
1642605461.904,12.695,36.621,-23.926,14.648,-51.758
1642605461.908,18.066,34.180,-108.398,20.996,-56.641
1642605461.910,19.531,32.715,-29.297,25.391,-2.441
1642605461.914,7.812,33.691,51.758,18.066,24.414
1642605461.918,1.953,38.574,-63.965,8.301,-33.203
1642605461.922,14.648,43.457,-167.969,12.207,-51.270
1642605461.926,16.113,44.922,-33.691,21.973,-35.156
1642605461.930,3.418,43.945,-71.777,14.160,-50.293
1642605461.934,-0.977,39.551,-186.523,4.883,-19.531
1642605461.937,3.906,35.156,-479.980,5.859,-5.859
1642605461.941,14.160,39.551,-462.891,15.625,-39.551
1642605461.945,15.137,47.363,-42.480,19.043,-34.180
