timestamps,TP9,AF7,AF8,TP10,Right AUX
1641937081.957,54.199,11.230,-148.438,54.199,30.762
1641937081.961,32.715,9.766,-298.828,39.062,9.277
1641937081.965,38.086,14.648,-368.164,30.273,42.480
1641937081.969,73.242,24.902,-172.363,42.480,68.359
1641937081.973,88.379,24.414,-131.836,61.035,70.801
1641937081.977,62.988,11.719,-304.688,54.688,47.363
1641937081.980,46.875,10.742,-394.531,37.598,20.020
1641937081.984,81.055,21.973,-223.145,38.574,38.086
1641937081.988,102.539,22.949,-73.730,60.059,68.359
1641937081.992,85.938,12.695,-325.684,65.918,48.828
1641937081.996,75.684,18.555,-388.184,48.828,20.996
1641937082.000,86.426,35.645,-79.590,52.734,45.898
1641937082.017,100.098,34.180,-39.551,69.336,62.988
1641937082.021,87.402,23.438,-164.551,76.660,60.059
1641937082.025,67.383,23.438,-199.219,64.453,38.574
1641937082.029,66.895,24.414,-18.066,55.176,25.391
1641937082.033,82.031,14.160,-64.941,67.871,-12.695
1641937082.037,87.891,13.672,-347.656,82.031,-31.250
1641937082.040,64.453,26.367,-204.590,76.172,6.348
1641937082.044,48.828,19.531,89.355,67.383,44.434
1641937082.048,64.453,8.789,-95.703,72.266,17.578
1641937082.052,81.543,23.926,-191.406,85.449,6.348
1641937082.056,62.500,36.133,101.562,67.383,31.738
1641937082.060,30.762,28.320,128.906,41.992,37.598
1641937082.061,44.434,23.438,-0.977,44.434,19.531
1641937082.065,77.148,21.484,9.277,62.500,-6.836
1641937082.069,65.430,31.250,143.066,67.871,43.945
1641937082.073,39.551,35.645,177.734,44.434,107.910
1641937082.077,52.734,30.273,-8.301,36.621,74.707
1641937082.081,80.078,28.809,-145.508,52.734,36.133
1641937082.084,77.148,36.133,-120.605,58.594,32.227
1641937082.088,47.852,41.504,82.520,41.016,81.543
1641937082.092,35.645,28.320,-125.977,22.461,94.238
1641937082.096,57.129,34.180,-383.301,30.273,44.434
1641937082.100,67.383,42.480,-34.668,54.199,34.668
1641937082.104,52.734,30.762,33.203,56.641,37.109
1641937082.107,38.086,32.227,-31.250,41.992,18.555
1641937082.111,47.363,36.621,8.301,41.992,-21.973
1641937082.115,59.570,38.574,80.078,65.430,-18.066
1641937082.119,33.203,38.574,15.625,58.594,16.602
1641937082.123,8.301,33.203,-132.812,28.320,23.926
1641937082.127,17.578,32.227,-207.520,24.902,-2.441
1641937082.130,35.645,36.133,-111.328,48.828,-19.043
1641937082.134,30.273,31.250,-78.125,62.012,-1.953
1641937082.138,13.184,29.785,-491.699,48.340,-32.227
1641937082.142,33.691,45.410,-370.605,48.828,-8.789
1641937082.146,48.828,44.922,29.785,77.637,58.594
1641937082.150,29.297,36.133,5.859,89.844,48.828
1641937082.153,4.395,38.086,5.859,74.707,22.949
1641937082.157,-0.488,43.457,72.754,57.129,4.395
1641937082.161,21.973,43.945,145.996,64.941,25.879
1641937082.165,38.574,41.504,153.320,79.102,68.848
1641937082.169,29.297,36.133,170.410,58.105,89.844
1641937082.173,22.949,30.273,98.633,35.645,82.031
1641937082.176,40.039,36.621,23.926,50.293,104.492
1641937082.180,51.758,39.062,-166.992,69.336,76.172
1641937082.184,49.805,49.805,-168.945,71.777,48.828
1641937082.188,41.992,50.781,57.617,60.547,43.457
1641937082.192,49.316,37.598,6.348,57.617,10.254
1641937082.196,63.477,38.086,23.926,66.895,39.551
1641937082.212,47.852,37.598,110.840,69.824,47.363
1641937082.216,22.461,32.227,242.676,53.711,70.801
1641937082.220,15.625,25.391,189.453,33.691,104.492
1641937082.224,32.715,25.879,90.332,47.852,103.027
1641937082.228,30.273,32.227,182.129,63.965,110.352
1641937082.232,1.465,36.621,83.496,49.316,76.172
1641937082.235,-7.324,40.039,-107.910,28.320,41.016
1641937082.239,4.883,44.434,-293.457,31.738,45.410
1641937082.243,18.555,56.152,-125.000,48.828,25.391
1641937082.247,5.371,43.945,187.012,40.527,49.316
1641937082.251,-8.301,26.367,107.910,17.090,76.660
1641937082.255,15.625,29.297,77.148,20.020,58.594
1641937082.257,29.297,30.273,85.938,37.109,54.199
1641937082.261,18.066,36.133,19.531,39.062,48.340
1641937082.265,20.996,45.898,-45.898,28.320,10.742
1641937082.269,44.922,38.086,-21.973,34.180,41.992
1641937082.273,50.293,27.832,142.090,38.086,82.031
1641937082.277,31.250,16.113,15.625,30.762,47.363
1641937082.280,14.160,17.578,-114.258,22.949,9.766
1641937082.284,17.578,27.344,-1.465,14.160,14.648
1641937082.288,46.875,30.273,35.645,38.086,8.301
1641937082.292,54.199,32.715,120.605,60.059,18.555
1641937082.296,14.160,23.438,-179.688,36.621,9.277
1641937082.300,10.254,36.621,-375.000,25.391,-21.484
1641937082.287,48.828,53.223,81.543,39.551,15.625
1641937082.291,52.246,33.203,159.180,51.758,11.719
1641937082.295,25.879,26.367,7.812,38.574,-4.883
1641937082.299,13.184,40.527,-7.812,20.508,22.461
1641937082.303,29.785,47.363,86.426,28.320,30.273
1641937082.307,42.969,39.062,-3.418,47.852,35.645
1641937082.310,30.762,38.574,-48.828,51.758,43.457
1641937082.314,25.879,40.527,90.820,26.367,27.344
1641937082.318,40.039,41.992,99.121,14.160,-11.719
1641937082.322,55.176,34.180,83.496,33.203,-5.371
1641937082.326,54.199,21.484,-268.555,43.457,-15.625
1641937082.330,34.180,41.992,-183.594,30.762,-22.949
1641937082.346,24.414,52.734,166.016,10.254,13.672
1641937082.350,51.758,46.875,115.723,23.926,1.953
1641937082.354,60.059,43.945,174.316,49.316,18.066
1641937082.358,37.109,49.316,259.277,37.109,51.270
1641937082.362,24.414,53.711,170.410,16.602,37.598
1641937082.366,35.645,49.805,18.555,11.230,8.789
1641937082.369,49.316,52.246,-37.109,32.715,-7.324
1641937082.373,34.180,52.246,75.195,36.133,26.855
1641937082.377,13.184,40.527,210.449,11.719,49.805
1641937082.381,22.949,28.320,-55.664,18.066,4.883
1641937082.385,43.945,35.645,-210.449,35.645,-39.062
1641937082.389,37.598,40.039,133.301,42.969,20.508
1641937082.392,25.391,35.156,131.836,32.227,36.133
1641937082.396,38.086,41.992,70.312,25.879,44.922
1641937082.400,59.570,38.574,205.078,44.434,58.594
1641937082.404,55.176,33.691,287.598,51.270,40.527
1641937082.408,33.203,33.203,254.395,32.715,49.316
1641937082.412,31.250,31.738,-13.672,20.020,27.344
1641937082.415,54.199,37.598,-63.965,33.203,22.461
1641937082.419,62.988,36.133,221.680,49.316,97.656
1641937082.423,45.410,23.926,192.871,36.133,101.074
1641937082.427,32.715,15.625,-324.707,7.812,3.906
1641937082.431,54.688,34.180,-194.336,14.160,1.465
1641937082.435,65.430,38.574,229.492,37.598,18.066
1641937082.437,46.875,27.832,160.156,34.180,26.855
1641937082.441,34.180,31.738,86.426,15.137,18.555
1641937082.445,44.922,33.691,181.641,17.090,37.598
1641937082.449,62.012,30.762,228.516,39.551,74.219
1641937082.453,48.828,34.180,161.621,45.410,51.270
1641937082.457,21.484,38.574,24.902,23.438,-16.602
1641937082.460,15.137,39.062,-93.262,11.719,-42.969
1641937082.464,37.109,41.992,29.785,36.133,-47.852
1641937082.468,25.391,25.391,-83.496,50.781,-56.641
