timestamps,TP9,AF7,AF8,TP10,Right AUX
1641937029.605,18.066,57.129,242.188,13.184,6.348
1641937029.609,19.531,50.293,247.559,20.508,29.785
1641937029.613,-4.883,48.828,147.949,4.883,18.555
1641937029.617,-3.906,50.293,134.766,-7.324,33.691
1641937029.621,22.461,46.387,228.516,4.395,37.598
1641937029.625,29.785,37.109,150.879,27.832,53.223
1641937029.629,7.812,37.109,-168.945,20.020,30.762
1641937029.632,1.953,47.363,-286.133,5.371,25.879
1641937029.636,31.738,52.246,136.230,23.438,100.098
1641937029.640,45.410,38.574,233.887,40.527,68.848
1641937029.644,28.809,32.715,142.090,42.969,44.922
1641937029.648,19.043,27.832,170.410,31.250,66.895
1641937029.650,34.668,22.461,213.867,28.809,32.227
1641937029.654,56.152,20.020,172.852,47.363,46.387
1641937029.658,46.387,18.555,108.398,51.758,48.828
1641937029.662,30.273,25.391,144.531,32.715,3.906
1641937029.666,41.016,28.320,149.414,21.973,1.465
1641937029.670,55.664,22.461,-56.152,38.086,16.113
1641937029.674,54.688,26.367,-241.211,53.223,24.902
1641937029.677,41.504,35.156,-30.762,36.621,33.691
1641937029.681,36.133,34.180,77.148,15.625,39.062
1641937029.685,46.875,38.086,-25.391,25.391,-0.488
1641937029.689,41.992,41.016,-30.762,39.551,-2.930
1641937029.693,15.137,39.062,81.055,26.367,22.949
1641937029.710,0.488,37.598,124.023,10.742,27.832
1641937029.714,13.672,39.551,-31.250,5.859,46.875
1641937029.718,28.320,41.016,-91.797,13.184,51.270
1641937029.722,16.602,36.133,41.992,20.996,24.414
1641937029.726,3.906,27.832,59.570,5.859,19.531
1641937029.730,19.531,23.926,-86.426,5.371,34.180
1641937029.734,42.480,36.621,-72.266,24.902,26.367
1641937029.737,34.668,43.457,112.793,34.668,5.371
1641937029.741,14.160,40.039,171.875,27.832,25.391
1641937029.745,15.625,39.551,-73.242,17.578,66.406
1641937029.749,46.387,48.340,6.836,41.504,110.352
1641937029.753,52.246,40.039,321.777,51.758,119.141
1641937029.755,12.695,22.949,37.598,22.461,25.391
1641937029.759,4.883,29.785,-157.715,11.719,3.418
1641937029.763,38.574,44.434,80.078,27.344,109.863
1641937029.767,41.992,36.133,176.270,47.363,95.703
1641937029.771,13.672,34.668,13.184,38.086,34.668
1641937029.775,0.977,36.621,-91.797,17.578,79.590
1641937029.779,15.137,35.156,-56.641,19.043,69.336
1641937029.782,29.785,45.898,148.926,39.551,51.270
1641937029.786,5.859,37.109,67.383,47.363,50.293
1641937029.790,-15.137,34.668,-247.559,23.438,4.395
1641937029.794,5.371,53.711,-26.367,20.508,14.648
1641937029.798,22.949,50.293,208.984,51.758,23.438
1641937029.800,21.973,44.922,141.602,63.965,41.504
1641937029.804,8.301,40.039,50.781,45.410,43.457
1641937029.808,13.672,29.785,71.289,30.762,15.625
1641937029.812,37.598,26.367,51.270,47.363,21.484
1641937029.816,38.574,29.297,-46.875,71.289,41.016
1641937029.820,7.324,36.133,-60.059,56.641,42.480
1641937029.824,-4.395,43.457,-4.395,38.086,48.340
1641937029.827,17.090,49.805,66.406,38.574,36.133
1641937029.831,21.484,46.875,-117.676,52.246,33.203
1641937029.835,12.695,47.363,-163.574,47.363,53.711
1641937029.839,6.836,47.363,143.555,26.367,57.617
1641937029.843,20.508,35.645,88.867,30.762,42.480
1641937029.846,38.574,35.645,35.645,43.945,67.871
1641937029.850,34.668,41.992,178.223,52.734,113.770
1641937029.854,18.555,34.668,250.977,37.598,82.031
1641937029.858,17.090,29.297,145.508,21.973,62.012
1641937029.862,33.203,30.762,70.801,35.645,59.082
1641937029.866,32.227,30.273,8.301,40.527,21.484
1641937029.870,10.254,26.367,-78.125,23.438,23.438
1641937029.873,0.977,27.344,-110.840,14.648,45.898
1641937029.877,17.090,37.109,-370.605,27.832,20.508
1641937029.881,23.438,52.734,-183.105,38.574,8.789
1641937029.885,0.000,45.898,232.910,27.344,54.199
1641937029.889,-12.207,32.227,120.117,16.602,73.242
1641937029.890,7.812,32.715,7.812,27.344,61.035
1641937029.894,19.531,36.133,91.797,39.551,57.617
1641937029.898,10.742,42.480,135.254,42.969,45.410
1641937029.902,4.395,44.922,56.152,22.949,33.691
1641937029.906,10.254,41.992,67.383,20.996,19.043
1641937029.910,15.625,46.875,12.207,27.344,-2.441
1641937029.914,24.902,61.035,81.543,26.855,3.418
1641937029.917,13.672,67.871,67.383,14.648,24.902
1641937029.921,8.301,75.684,-6.836,-9.277,14.648
1641937029.925,38.086,82.031,385.254,6.836,12.207
1641937029.929,40.527,71.289,603.516,23.926,-8.789
1641937029.933,20.996,68.359,597.656,14.160,-28.320
1641937029.935,37.598,89.355,811.523,10.254,22.949
1641937029.939,66.406,102.051,979.004,28.809,44.922
1641937029.943,64.453,107.422,927.246,52.246,38.574
1641937029.947,32.715,115.723,918.457,42.969,59.570
1641937029.951,28.809,116.211,955.566,29.297,48.828
1641937029.955,53.223,112.305,837.402,38.086,33.203
1641937029.959,56.641,109.863,647.461,54.199,-1.953
1641937029.962,36.133,109.863,577.637,65.430,-15.137
1641937029.966,25.391,124.023,807.129,47.363,7.324
1641937029.970,25.879,128.418,928.711,35.645,20.996
1641937029.974,20.508,125.000,797.363,32.715,53.711
1641937029.978,-7.324,120.117,550.781,10.254,45.898
1641937029.981,-39.062,118.164,435.547,-11.719,52.246
1641937029.985,-49.805,104.980,403.809,-41.016,61.523
1641937029.989,-42.969,89.844,152.344,-47.852,38.086
1641937029.993,-48.340,93.750,44.922,-51.758,49.316
1641937029.997,-69.824,89.844,78.125,-74.219,74.219
1641937030.001,-84.961,82.520,-154.785,-90.820,57.129
1641937030.005,-72.266,73.730,-516.113,-89.355,11.230
1641937030.008,-56.152,69.336,-556.152,-68.848,-13.672
1641937030.012,-70.801,68.848,-265.137,-79.590,5.859
1641937030.016,-81.543,57.617,-301.758,-100.098,36.133
1641937030.020,-57.617,50.781,-430.664,-85.449,11.719
1641937030.024,-27.832,54.688,-324.219,-66.406,-39.062
1641937030.071,-31.250,59.082,-217.285,-54.199,2.930
1641937030.075,-52.246,47.852,-329.102,-67.871,-6.836
1641937030.079,-38.086,34.668,-527.832,-72.754,-35.156
1641937030.083,-9.277,39.062,-452.148,-39.551,-15.137
1641937030.087,-11.230,45.898,-285.156,-29.785,-9.277
1641937030.091,-21.484,48.340,-426.270,-36.133,24.414
1641937030.095,-15.625,45.898,-883.789,-53.223,-24.902
1641937030.098,5.371,50.781,-779.785,-48.340,-56.641
1641937030.102,14.648,38.086,-327.637,-14.160,-16.602
1641937030.106,-4.395,18.066,-310.059,-11.719,-2.441
1641937030.110,-12.207,17.578,-380.371,-21.973,20.020
1641937030.114,17.090,19.043,-345.703,-11.230,30.273
1641937030.074,36.133,17.578,-212.891,12.695,32.227
1641937030.078,20.508,20.996,-214.355,18.066,26.855
1641937030.082,10.742,29.785,-230.469,5.371,41.504
1641937030.086,30.762,36.133,-114.258,12.695,45.898
1641937030.090,50.293,25.879,-85.938,27.832,41.992
1641937030.094,34.180,12.695,-215.820,31.738,27.832
1641937030.098,8.301,15.625,-294.922,14.648,25.391
1641937030.101,19.043,20.996,-170.410,11.230,-11.719
1641937030.105,45.898,17.090,-43.945,38.086,-31.250
1641937030.109,40.527,15.137,-85.449,46.387,-14.160
1641937030.113,20.020,20.996,-36.133,31.738,-32.715
1641937030.117,18.066,15.625,43.457,21.484,-26.855
1641937030.131,39.551,5.371,28.320,41.016,-37.109
1641937030.135,54.199,2.930,-27.344,61.035,-46.387
1641937030.139,41.016,2.930,36.621,47.363,-20.020
1641937030.143,30.762,2.441,159.668,38.086,31.738
1641937030.147,49.316,-3.906,71.777,48.340,10.254
1641937030.151,60.059,-13.184,-329.102,61.035,-11.719
1641937030.155,45.410,-4.395,-461.426,65.918,35.156
1641937030.158,42.969,0.977,-161.621,56.152,32.227
1641937030.162,56.641,-5.859,-150.391,51.758,-17.090
1641937030.166,74.219,-4.395,-89.844,75.684,-13.672
1641937030.170,73.730,1.953,211.914,92.285,43.457
1641937030.174,45.410,2.441,222.656,76.172,42.480
1641937030.175,42.969,0.000,62.500,62.500,5.371
1641937030.179,63.965,-0.977,10.254,73.242,-19.531
1641937030.183,63.477,-2.441,147.949,87.891,23.926
1641937030.187,42.969,-5.859,182.129,78.125,69.824
1641937030.191,37.598,-2.441,73.242,61.523,62.988
1641937030.195,53.711,1.953,-25.391,66.406,54.199
1641937030.199,58.594,2.441,-42.480,82.520,41.016
1641937030.202,43.457,6.836,87.402,76.660,57.617
1641937030.206,22.461,-1.465,-157.227,53.223,21.484
1641937030.210,39.062,0.000,-226.074,57.129,-20.508
1641937030.214,62.012,8.301,48.340,74.707,2.930
1641937030.218,52.734,4.395,28.809,76.660,26.367
1641937030.220,36.133,2.930,-33.203,52.734,-5.371
1641937030.224,40.527,18.066,84.473,47.363,20.996
1641937030.228,61.035,29.785,261.230,67.871,106.445
1641937030.232,52.246,18.555,108.398,76.660,61.035
1641937030.236,31.250,8.789,58.594,75.195,30.273
1641937030.240,34.180,16.602,-26.855,66.406,33.203
1641937030.244,56.152,29.785,-23.926,79.102,34.180
1641937030.247,55.664,23.926,23.438,88.867,81.543
1641937030.251,35.156,16.113,-196.289,65.430,70.801
1641937030.255,29.785,27.832,-14.648,44.922,44.922
1641937030.259,48.340,23.926,160.645,52.246,7.324
1641937030.263,59.082,25.879,52.734,67.383,-8.301
1641937030.265,39.062,37.598,32.227,55.176,37.598
1641937030.269,29.785,40.527,88.379,39.062,74.219
1641937030.273,48.828,35.156,88.379,45.410,78.613
1641937030.277,58.105,30.273,-63.965,57.129,79.590
1641937030.281,47.852,30.273,-78.613,61.523,62.500
1641937030.285,36.621,27.832,-40.527,35.645,60.059
1641937030.289,41.992,27.344,-97.168,18.066,48.828
1641937030.292,58.105,18.555,-278.320,37.598,-5.371
1641937030.296,52.246,18.066,-292.969,47.363,-23.438
1641937030.300,36.133,26.367,58.105,34.180,3.418
1641937030.304,42.480,18.555,84.961,20.508,31.738
1641937030.308,64.941,20.996,0.977,39.551,35.645
1641937030.310,63.965,29.785,83.496,57.617,40.039
1641937030.314,44.434,28.320,153.320,48.828,79.590
1641937030.318,31.738,24.414,71.289,41.504,90.820
1641937030.322,40.039,25.391,39.062,42.969,110.352
1641937030.326,50.781,20.508,24.902,58.594,91.309
1641937030.330,35.645,15.625,-71.777,67.871,46.875
1641937030.334,20.508,13.672,-139.160,49.805,52.734
1641937030.337,26.855,7.812,-446.777,46.875,6.348
1641937030.341,44.922,18.555,-260.254,61.523,-0.488
1641937030.345,37.598,17.578,151.367,64.941,39.062
1641937030.349,15.625,9.766,39.062,44.434,22.461
1641937030.353,22.949,26.367,-42.480,26.855,15.625
1641937030.355,39.551,39.551,139.648,46.875,61.035
1641937030.359,34.180,33.203,229.980,47.363,66.895
1641937030.363,10.742,31.250,83.008,27.344,57.129
1641937030.367,10.742,37.598,8.301,25.879,78.613
1641937030.371,34.668,33.203,79.590,39.551,58.594
1641937030.375,38.574,23.926,10.742,53.223,60.547
1641937030.379,14.648,20.020,-281.250,41.016,69.824
1641937030.382,11.230,29.297,-344.727,24.414,41.016
1641937030.386,41.992,45.410,21.484,24.414,38.574
1641937030.390,55.664,45.410,183.594,42.969,32.715
1641937030.394,32.715,34.180,122.559,44.922,58.594
1641937030.398,14.160,28.320,98.145,20.020,58.594
1641937030.400,34.668,31.738,131.836,22.949,34.180
1641937030.404,52.246,21.484,100.586,43.945,7.812
1641937030.408,37.598,10.254,81.055,46.387,36.133
1641937030.412,18.066,15.137,110.840,29.785,73.730
1641937030.416,32.715,24.902,92.285,26.367,55.176
1641937030.420,54.199,22.461,-41.016,42.480,39.062
1641937030.424,47.852,21.973,-294.922,50.293,-4.395
1641937030.427,37.109,35.645,-53.223,45.410,34.180
1641937030.431,35.645,33.691,249.023,36.621,97.168
1641937030.435,41.992,22.949,137.695,41.992,53.223
1641937030.439,33.691,19.531,43.457,54.688,-13.184
1641937030.443,20.996,34.180,92.285,50.781,-31.738
1641937030.460,2.930,47.852,94.727,18.555,-7.324
1641937030.464,2.930,43.945,-34.180,-5.859,-11.230
1641937030.468,28.809,43.945,-41.504,10.254,-7.324
1641937030.472,20.020,46.387,202.148,17.090,23.926
1641937030.476,0.977,40.527,245.117,-7.324,3.418
1641937030.480,6.348,35.645,-1.465,-20.020,-48.340
1641937030.484,23.926,35.156,-102.051,-0.977,-31.738
1641937030.487,26.367,36.621,68.359,11.719,27.832
1641937030.491,7.324,39.551,138.184,5.371,29.297
1641937030.495,7.324,41.016,70.801,-2.441,14.160
1641937030.499,28.320,49.805,63.477,9.766,19.531
1641937030.503,33.203,57.129,152.832,25.879,63.477
1641937030.505,12.695,50.293,179.688,13.672,61.523
1641937030.509,-2.441,41.992,-177.734,0.977,1.953
1641937030.513,17.578,55.664,-150.879,4.395,26.367
1641937030.517,33.203,60.059,237.793,26.367,65.918
1641937030.521,19.531,52.246,191.895,26.367,46.387
1641937030.525,9.277,49.805,-5.859,0.977,9.277
1641937030.529,27.344,51.758,-60.547,6.836,6.836
1641937030.532,46.387,55.664,163.574,30.762,58.594
1641937030.536,33.691,44.922,168.945,43.945,63.965
1641937030.540,16.602,40.039,-117.188,22.949,30.762
1641937030.544,47.363,55.664,58.105,21.484,46.875
1641937030.548,77.637,52.246,277.344,55.176,72.754
1641937030.550,56.641,42.480,187.012,56.152,62.012
1641937030.554,25.391,43.945,143.066,36.621,37.109
1641937030.558,30.273,42.480,172.852,19.531,5.371
1641937030.562,49.316,36.133,87.402,29.297,-0.488
1641937030.566,47.852,36.133,30.762,58.105,12.207
1641937030.570,31.250,33.203,-28.320,46.387,-5.371
1641937030.574,29.785,45.410,-54.688,33.203,7.324
1641937030.577,51.270,59.082,108.398,41.992,77.637
1641937030.581,49.805,49.805,-36.621,45.898,71.777
1641937030.585,32.227,48.828,-118.652,44.922,-0.977
1641937030.589,28.320,59.570,256.836,33.691,49.805
1641937030.593,38.574,57.129,267.578,34.668,45.410
1641937030.611,57.617,59.570,177.246,49.316,34.668
1641937030.615,39.062,64.453,280.762,54.199,40.039
1641937030.619,3.906,52.734,361.328,29.785,17.090
1641937030.623,14.648,51.758,265.625,14.648,41.992
1641937030.627,49.316,59.082,240.723,45.898,76.172
1641937030.631,35.645,51.758,259.766,49.805,72.754
1641937030.635,18.555,65.430,238.281,39.062,60.547
1641937030.638,40.527,73.730,179.199,52.246,65.430
1641937030.642,44.434,60.059,-79.590,60.059,44.434
1641937030.646,51.270,71.289,155.762,76.172,36.621
1641937030.650,41.992,64.941,543.457,65.430,86.914
1641937030.654,20.996,49.805,516.113,43.945,47.852
1641937030.640,23.926,39.062,660.645,44.922,29.785
1641937030.644,41.016,37.598,790.527,67.871,13.184
1641937030.648,30.273,42.969,765.137,74.219,11.719
1641937030.652,6.836,40.039,712.402,48.340,48.828
1641937030.656,18.066,41.504,681.641,45.410,-10.254
1641937030.660,32.715,42.480,634.766,65.918,-22.949
1641937030.664,22.949,36.133,657.227,66.406,6.836
1641937030.667,1.465,25.391,469.727,47.363,-29.297
1641937030.671,3.906,31.738,381.836,37.598,-13.184
1641937030.675,20.508,41.992,624.512,46.387,37.109
1641937030.679,11.230,32.715,674.316,57.129,27.344
1641937030.683,2.441,29.297,547.852,50.293,40.527
1641937030.686,3.418,36.621,544.922,35.645,47.852
1641937030.690,26.367,33.203,689.941,48.340,42.969
1641937030.694,38.086,27.344,591.309,75.684,46.387
1641937030.698,9.277,26.367,495.605,66.895,62.500
1641937030.702,-13.672,31.738,567.871,39.062,91.309
1641937030.706,-10.254,32.715,515.137,29.785,77.148
1641937030.710,2.930,29.785,331.055,36.133,87.402
1641937030.713,-4.883,35.156,227.051,34.668,117.676
1641937030.717,-6.348,49.805,412.598,19.531,89.844
1641937030.721,10.254,48.828,554.199,12.695,137.695
1641937030.725,27.344,46.387,513.672,29.785,124.023
1641937030.729,19.531,46.875,404.785,40.039,61.035
1641937030.731,-0.977,50.781,463.379,22.949,55.176
1641937030.735,4.395,46.875,539.062,8.301,57.617
1641937030.739,31.250,41.992,275.879,19.043,45.410
1641937030.743,39.551,48.828,174.316,28.809,43.457
1641937030.747,24.414,52.734,323.242,16.602,50.293
1641937030.751,24.902,44.922,252.930,4.395,60.059
1641937030.755,39.062,33.203,-95.703,10.742,50.293
1641937030.758,46.875,41.504,-160.645,25.879,0.488
1641937030.762,25.879,52.734,188.477,20.020,29.297
1641937030.766,0.977,39.551,152.832,1.953,48.340
1641937030.770,20.020,37.598,-10.742,14.160,8.789
1641937030.774,33.203,42.480,73.730,29.297,50.293
1641937030.789,0.977,40.527,144.043,20.020,86.426
1641937030.793,-20.020,40.039,21.973,-8.301,18.066
1641937030.797,4.395,32.715,-184.570,-15.137,-52.246
1641937030.801,36.133,33.203,-188.477,8.301,-49.805
1641937030.805,38.574,40.039,-9.277,19.531,5.859
1641937030.809,21.973,31.250,-131.348,10.254,-9.766
1641937030.813,13.184,24.414,-533.691,-10.254,-63.965
1641937030.816,38.574,37.598,-425.781,2.441,-36.621
1641937030.820,49.316,41.016,-53.711,31.738,-4.395
1641937030.824,26.367,34.180,-142.090,19.043,-7.812
1641937030.828,19.043,28.320,-144.531,2.441,24.414
1641937030.832,33.691,26.367,-27.344,1.953,32.227
1641937030.836,46.875,28.320,-45.898,20.020,-3.906
1641937030.840,31.250,28.809,-110.352,22.949,-30.762
1641937030.844,17.578,29.785,-153.809,-3.906,-16.602
1641937030.848,23.926,29.785,-72.754,1.465,-6.836
1641937030.852,33.691,27.832,9.277,22.949,-14.648
1641937030.856,17.090,25.391,-57.129,24.414,9.766
1641937030.860,-6.348,25.879,-193.848,17.578,2.441
1641937030.863,4.395,31.250,-220.215,11.230,5.371
1641937030.867,32.715,39.062,-90.332,30.762,24.414
1641937030.871,26.855,32.715,-306.152,41.504,12.207
1641937030.875,2.930,41.992,-433.594,24.414,30.762
1641937030.879,12.207,53.223,-31.250,18.066,32.715
1641937030.879,35.645,38.086,0.000,29.297,16.113
1641937030.883,42.480,20.020,-80.078,52.246,26.367
1641937030.887,42.480,29.785,-2.930,60.059,32.227
1641937030.891,23.438,49.316,27.344,28.809,47.852
1641937030.895,22.461,45.898,-1.465,11.230,83.984
1641937030.899,32.227,36.621,-142.578,20.020,95.703
1641937030.903,7.324,37.109,-192.383,9.277,35.156
1641937030.906,-3.418,47.363,-65.918,-15.137,-5.859
1641937030.910,1.953,44.922,-165.527,-23.926,11.719
1641937030.914,2.930,44.922,-451.172,-17.578,22.949
1641937030.918,-7.812,49.316,-202.148,-21.484,34.180
