timestamps,TP9,AF7,AF8,TP10,Right AUX
1641437240.446,40.039,18.066,103.027,119.629,-10.742
1641437240.450,21.973,11.230,236.328,87.402,21.484
1641437240.454,-5.859,6.836,208.496,-26.855,17.578
1641437240.458,15.625,14.160,48.340,-14.160,-35.156
1641437240.462,54.688,21.973,210.938,102.539,12.207
1641437240.466,45.898,18.066,346.680,109.863,35.156
1641437240.470,7.324,13.184,141.602,-12.695,-1.953
1641437240.473,7.812,10.742,-79.102,-37.598,32.227
1641437240.477,39.551,11.719,-105.469,69.336,65.430
1641437240.481,47.852,15.137,370.117,122.070,91.309
1641437240.485,11.719,16.602,508.301,25.391,96.680
1641437240.489,2.441,14.648,246.094,-30.273,66.406
1641437240.489,37.598,16.113,240.234,44.434,70.312
1641437240.493,58.594,18.555,408.203,117.676,110.352
1641437240.497,26.367,22.949,456.055,51.270,122.070
1641437240.501,-2.441,21.484,131.836,-54.688,84.961
1641437240.505,25.391,14.160,66.895,-4.883,57.617
1641437240.509,58.594,11.719,257.324,112.305,49.805
1641437240.513,41.504,16.113,257.324,96.191,70.801
1641437240.516,8.789,23.438,-154.297,-31.738,19.043
1641437240.520,25.879,26.367,-231.445,-29.297,-23.926
1641437240.524,56.641,25.391,329.102,100.098,26.855
1641437240.528,47.363,23.926,400.879,116.699,12.207
1641437240.532,12.695,21.484,152.344,-4.883,-30.762
1641437240.534,10.254,23.438,131.348,-47.363,-11.719
1641437240.538,39.551,24.902,290.039,55.176,36.133
1641437240.542,46.387,22.461,350.586,125.488,37.109
1641437240.546,10.254,16.113,229.980,27.344,44.922
1641437240.550,-2.930,15.137,63.965,-55.664,56.152
1641437240.554,28.320,20.996,34.180,20.020,61.035
1641437240.558,49.805,20.996,-25.879,110.352,42.480
1641437240.561,28.320,21.973,-309.570,52.246,41.016
1641437240.565,2.930,25.879,-171.875,-53.711,62.500
1641437240.569,19.531,24.414,32.715,-14.160,36.621
1641437240.573,53.223,21.973,85.938,93.262,70.312
1641437240.577,41.992,27.344,164.062,83.008,79.590
1641437240.580,7.812,25.391,34.668,-19.531,35.645
1641437240.584,15.625,16.602,-91.797,-24.414,-2.441
1641437240.588,47.363,16.602,-28.809,96.191,4.395
1641437240.592,49.316,19.531,148.438,136.719,66.406
1641437240.596,5.371,20.020,99.121,23.926,60.059
1641437240.600,-7.324,21.484,-178.223,-12.207,15.625
1641437240.604,26.855,19.531,-406.738,78.125,11.719
1641437240.607,41.992,20.020,-152.832,143.555,74.219
1641437240.611,8.301,21.973,48.828,63.477,91.309
1641437240.615,-10.254,20.996,-327.637,-25.879,6.348
1641437240.619,26.367,22.461,-397.949,37.598,-46.875
1641437240.623,56.152,21.973,-35.645,143.066,8.789
1641437240.640,33.203,11.719,77.637,107.422,45.898
1641437240.644,-5.371,6.348,-163.574,-19.043,37.109
1641437240.648,10.742,14.160,-248.047,-1.465,48.340
1641437240.652,48.828,20.996,-52.246,131.348,69.824
1641437240.656,36.621,21.484,78.125,141.113,110.352
1641437240.660,13.672,22.949,-277.832,27.344,52.734
1641437240.664,26.367,21.484,-438.965,17.090,2.441
1641437240.667,39.551,19.043,-44.922,113.281,42.480
1641437240.671,37.598,13.672,70.801,137.695,30.762
1641437240.675,10.254,10.742,-252.441,37.598,-9.277
1641437240.679,2.930,11.230,-400.879,-21.973,39.062
1641437240.683,40.039,6.348,-202.148,64.941,113.770
1641437240.684,57.129,10.742,0.000,144.043,101.562
1641437240.688,20.996,15.625,-126.953,53.711,6.836
1641437240.692,-5.859,16.602,-318.359,-50.293,-27.832
1641437240.696,23.438,24.414,-95.215,3.906,38.086
1641437240.700,57.617,24.902,60.059,104.980,79.102
1641437240.704,43.945,25.391,-27.832,85.449,60.547
1641437240.708,14.160,27.832,-223.145,-20.508,8.789
1641437240.711,28.809,28.320,-160.645,-12.207,26.367
1641437240.715,65.918,31.250,97.656,104.492,132.324
1641437240.719,58.105,29.785,-0.488,114.258,147.949
1641437240.723,11.719,26.367,1.953,-4.883,62.012
1641437240.727,8.301,26.855,121.094,-26.367,69.824
1641437240.745,49.316,29.785,116.699,99.609,83.008
1641437240.749,57.129,31.738,264.160,157.715,66.895
1641437240.753,16.113,29.785,180.176,38.574,95.215
1641437240.757,2.441,26.367,-12.695,-39.551,54.199
1641437240.761,38.574,23.926,-27.832,37.109,19.043
1641437240.765,55.176,26.855,1.953,124.512,56.152
1641437240.769,21.973,27.832,56.152,59.082,39.062
1641437240.772,0.488,19.531,67.383,-55.664,6.348
1641437240.776,20.020,11.719,-172.363,-13.184,-17.090
1641437240.780,45.898,15.137,-212.402,90.820,6.348
1641437240.784,29.785,21.973,149.902,59.082,46.875
1641437240.788,-2.441,21.484,5.371,-69.824,-3.906
