timestamps,TP9,AF7,AF8,TP10,Right AUX
1642605567.753,47.363,29.785,71.289,46.387,-4.395
1642605567.757,59.570,33.203,88.379,63.965,51.270
1642605567.761,34.668,30.273,42.480,46.387,38.574
1642605567.765,4.883,24.414,61.035,16.113,13.184
1642605567.769,9.766,29.297,69.824,17.578,27.344
1642605567.773,8.301,26.855,-63.477,20.020,6.348
1642605567.777,2.930,26.855,-157.227,16.602,-13.184
1642605567.780,0.000,27.344,-156.738,6.348,-16.602
1642605567.784,1.953,28.809,-120.605,-0.977,10.254
1642605567.788,9.277,30.273,-352.051,7.812,-12.207
1642605567.792,7.812,27.344,-459.473,11.230,-1.953
1642605567.796,8.789,28.320,-66.406,9.766,47.363
1642605567.798,9.277,25.879,-23.926,11.719,6.836
1642605567.802,15.625,25.879,-62.988,19.531,22.461
1642605567.806,18.066,29.297,30.273,27.832,79.102
1642605567.810,4.883,29.785,70.312,21.973,64.941
1642605567.814,-0.488,26.855,-0.977,13.672,46.387
1642605567.818,8.301,24.414,-164.062,20.996,31.250
1642605567.822,12.695,26.367,-205.078,27.344,60.059
1642605567.825,6.836,28.320,-17.578,20.508,68.359
1642605567.829,-1.953,24.902,-154.785,10.254,24.414
1642605567.833,1.953,26.855,-402.344,14.648,27.344
1642605567.837,19.043,31.250,-168.457,23.926,43.945
1642605567.841,16.113,27.344,-47.852,21.973,62.012
1642605567.843,4.395,26.855,-135.742,13.672,86.914
1642605567.847,15.625,29.785,-94.727,16.113,68.359
1642605567.851,26.367,32.715,81.055,27.344,97.656
1642605567.855,15.625,30.273,22.949,22.461,72.754
1642605567.859,0.000,27.832,-18.066,11.230,65.918
1642605567.863,0.000,26.855,-105.469,9.766,80.566
1642605567.867,8.789,28.809,-137.207,19.531,62.500
1642605567.870,11.230,30.762,7.324,23.926,50.293
1642605567.874,9.766,29.785,-243.652,16.113,-16.602
1642605567.878,9.766,32.715,-301.758,14.648,-40.039
1642605567.882,19.043,36.133,51.270,22.949,-12.207
1642605567.886,23.926,38.574,73.730,32.227,16.113
1642605567.888,19.043,35.156,41.016,31.250,40.039
1642605567.892,11.719,27.832,1.465,20.508,16.602
1642605567.896,14.160,27.832,80.566,20.508,20.020
1642605567.900,17.578,28.320,21.973,29.297,64.453
1642605567.904,13.184,30.273,-143.066,29.785,91.309
1642605567.908,6.836,30.762,-56.641,19.043,62.500
1642605567.912,5.371,28.809,-7.324,13.184,62.012
1642605567.915,11.230,32.715,-104.492,22.461,50.293
1642605567.919,11.230,33.691,-291.016,24.902,10.742
1642605567.923,1.953,30.273,-15.625,12.695,14.648
1642605567.927,-2.930,26.367,119.629,1.465,-6.348
1642605567.931,1.465,23.926,20.996,7.324,5.859
1642605567.933,2.441,26.367,95.215,18.555,41.992
1642605567.937,-3.418,28.809,189.941,10.742,73.730
1642605567.941,-3.418,27.832,145.508,7.812,79.590
1642605567.945,0.977,25.391,36.621,14.648,58.594
1642605567.949,5.859,28.809,-62.012,20.996,3.906
1642605567.953,2.930,31.738,-118.652,22.949,-5.859
1642605567.957,-6.348,26.367,-81.055,16.113,48.828
1642605567.960,-9.766,22.461,-315.918,13.672,47.363
1642605567.964,-1.465,25.391,-377.930,19.531,52.246
1642605567.968,3.418,32.715,-1.953,24.902,49.316
1642605567.972,-0.488,33.691,28.809,20.508,38.086
1642605567.976,2.441,32.227,-19.531,20.996,43.945
1642605568.008,8.789,29.785,103.027,24.902,20.020
1642605568.012,11.719,31.250,182.617,22.949,35.156
1642605568.016,10.254,31.250,88.379,22.461,70.801
1642605568.020,11.719,29.785,3.906,20.996,92.285
1642605568.024,20.020,29.297,119.629,24.902,93.750
1642605568.028,25.879,25.879,21.973,29.297,88.867
1642605568.032,22.949,26.855,-237.305,21.484,62.988
1642605568.035,14.160,28.809,-465.820,8.789,4.883
1642605568.039,19.531,30.273,-229.492,7.324,24.414
1642605568.043,29.785,30.762,141.602,18.066,73.242
1642605568.047,29.785,36.133,98.145,19.043,57.617
1642605568.051,26.367,38.086,8.789,9.766,28.320
1642605568.023,29.297,36.621,100.098,10.254,43.457
1642605568.027,33.691,33.691,191.895,18.066,42.969
1642605568.031,23.926,33.203,107.422,15.137,25.391
1642605568.035,16.113,29.785,65.430,5.859,31.738
1642605568.039,20.996,25.391,130.371,7.324,19.043
1642605568.043,22.461,27.344,-15.625,15.625,9.277
1642605568.047,25.879,29.785,-126.953,24.902,20.996
1642605568.050,18.066,28.320,9.766,20.020,48.828
1642605568.054,8.301,29.297,102.539,11.719,27.832
1642605568.058,17.578,30.762,-2.441,19.531,-18.066
1642605568.062,19.043,27.344,-92.773,29.785,-13.184
1642605568.066,11.719,24.902,-4.395,26.367,17.090
1642605568.083,14.648,26.855,77.148,23.926,32.227
1642605568.087,25.879,28.809,51.270,31.250,78.125
1642605568.091,28.320,24.902,-354.980,36.133,28.809
1642605568.095,20.508,22.461,-345.703,29.785,-46.875
1642605568.099,17.090,25.391,8.789,21.973,-20.508
1642605568.103,16.602,26.855,-181.641,19.043,-18.066
1642605568.107,26.367,29.297,-348.145,29.785,-11.230
1642605568.110,32.227,31.738,-52.734,33.691,24.902
1642605568.114,19.531,29.785,79.590,20.996,-10.254
1642605568.118,33.691,34.180,-55.176,26.367,-18.555
1642605568.122,56.641,36.621,6.348,46.875,29.785
1642605568.126,33.203,27.832,155.273,31.738,19.531
1642605568.128,3.906,22.461,37.598,2.930,-9.277
1642605568.132,5.371,19.043,-183.594,6.836,-23.438
1642605568.136,14.160,20.020,-65.430,12.207,-23.926
1642605568.140,17.090,22.461,102.051,14.160,-22.461
1642605568.144,16.602,24.414,78.125,14.160,4.883
1642605568.148,13.672,27.344,-35.645,4.395,62.012
1642605568.152,19.043,27.344,-114.746,3.418,71.289
1642605568.155,27.344,27.832,41.504,9.277,30.762
1642605568.159,20.996,29.297,145.996,11.230,-3.418
1642605568.163,10.742,28.809,-188.477,0.977,-40.527
1642605568.167,11.719,27.344,-238.281,0.977,-35.645
1642605568.171,20.020,26.855,145.996,18.555,26.855
1642605568.172,23.438,29.785,105.957,26.855,57.129
1642605568.176,11.230,33.203,-14.648,23.926,104.980
1642605568.180,8.301,29.785,81.543,20.020,90.332
1642605568.184,26.367,28.809,25.879,32.715,10.254
1642605568.188,30.273,31.738,-100.098,43.457,0.488
1642605568.192,22.949,28.320,-161.133,38.086,34.668
1642605568.196,19.531,27.344,-148.926,34.668,27.832
1642605568.199,21.973,27.832,50.781,33.691,13.672
1642605568.203,23.926,25.879,-7.324,35.156,8.301
1642605568.207,16.602,22.949,-283.203,34.180,-39.062
1642605568.211,10.742,25.879,-65.918,24.902,-10.254
1642605568.215,17.578,28.809,111.816,25.879,56.152
1642605568.218,20.996,29.785,37.109,25.879,55.176
1642605568.222,11.230,31.250,27.344,21.484,31.738
1642605568.226,6.348,32.227,127.441,15.625,62.012
1642605568.230,12.207,29.785,108.887,12.695,42.480
1642605568.234,19.531,27.344,22.949,18.555,24.414
1642605568.238,17.090,27.344,-44.434,20.996,76.172
1642605568.242,15.137,28.809,-122.559,17.090,55.176
1642605568.245,11.719,27.344,-127.930,15.137,32.715
1642605568.249,15.137,24.414,-317.871,18.555,29.297
1642605568.253,19.043,29.297,-384.277,23.926,14.648
1642605568.257,14.160,34.668,-49.316,23.438,20.508
1642605568.261,13.184,34.180,-30.762,17.090,7.812
1642605568.263,21.973,28.320,-74.219,23.926,35.156
1642605568.267,28.809,26.367,78.613,35.645,34.180
1642605568.271,21.484,28.320,155.273,39.551,0.000
1642605568.275,13.184,26.855,59.082,28.809,40.039
1642605568.279,17.578,28.320,-29.785,21.484,60.547
1642605568.283,28.809,27.344,-107.422,30.273,19.043
1642605568.287,18.066,24.414,-119.629,27.832,24.902
1642605568.290,5.371,24.902,-152.832,21.973,2.441
1642605568.294,13.672,27.832,-455.078,19.043,-65.430
1642605568.298,29.297,32.227,-246.582,21.484,-15.137
1642605568.302,32.227,34.668,92.285,29.297,2.930
1642605568.306,19.043,33.203,-96.680,22.949,-16.602
1642605568.307,9.766,30.762,-172.363,10.742,1.953
1642605568.311,16.602,30.273,41.504,11.230,18.555
1642605568.315,28.320,29.785,100.098,17.578,10.254
1642605568.319,20.508,31.250,68.848,14.160,11.719
1642605568.323,11.719,27.832,67.871,5.859,19.531
1642605568.327,15.137,26.855,-57.617,6.836,-16.602
1642605568.331,25.391,25.391,-46.875,12.695,-27.344
1642605568.334,30.273,21.973,-223.145,23.438,-2.930
1642605568.338,31.738,24.414,-321.777,28.809,17.578
1642605568.342,35.645,37.598,37.109,15.625,3.418
1642605568.346,28.320,41.504,118.652,3.418,36.621
1642605568.350,29.297,33.691,50.781,16.113,79.102
1642605568.368,36.621,36.621,103.516,27.832,70.801
1642605568.372,31.250,35.645,262.695,20.996,56.152
1642605568.376,30.762,30.273,126.465,23.438,25.391
1642605568.380,35.156,33.203,6.348,33.691,3.418
1642605568.384,24.902,33.203,164.551,26.855,-15.137
1642605568.388,22.949,34.180,79.590,22.949,14.648
1642605568.392,30.273,35.156,-134.766,25.391,12.207
1642605568.395,36.133,34.180,-200.684,29.785,7.812
1642605568.399,37.598,37.109,32.227,25.391,44.434
1642605568.403,33.203,41.016,135.742,16.602,18.066
1642605568.407,31.250,39.551,11.719,18.066,-14.648
1642605568.411,34.180,37.109,6.836,24.414,1.953
1642605568.398,25.391,35.156,123.535,26.367,20.996
1642605568.402,13.184,33.203,190.430,17.090,40.527
