timestamps,TP9,AF7,AF8,TP10,Right AUX
1642605324.325,19.043,39.551,-418.457,4.395,51.758
1642605324.329,40.527,39.062,-348.145,33.691,31.250
1642605324.333,18.066,32.227,-437.988,19.043,16.602
1642605324.337,5.371,32.715,-624.023,-11.719,-6.836
1642605324.341,16.602,38.086,-655.273,-10.254,-30.273
1642605324.345,24.414,41.992,-622.559,9.766,-47.852
1642605324.348,15.625,44.434,-700.195,16.113,-13.672
1642605324.352,2.930,44.922,-942.383,-1.465,-12.207
1642605324.356,13.184,45.898,-820.312,-8.301,-36.133
1642605324.360,30.762,45.898,-514.160,13.672,-36.621
1642605324.364,27.832,44.922,-585.938,25.879,-56.152
1642605324.368,13.184,39.551,-614.258,12.695,-11.719
1642605324.371,-0.977,38.086,-570.801,5.859,81.055
1642605324.375,3.418,34.180,-593.262,10.742,52.734
1642605324.379,13.184,34.668,-649.902,24.414,38.574
1642605324.383,14.648,40.527,-610.840,22.949,30.762
1642605324.385,7.324,46.387,-558.105,12.207,16.113
1642605324.389,14.648,44.434,-602.051,12.207,33.691
1642605324.393,26.855,35.645,-885.742,31.738,12.695
1642605324.397,23.926,38.086,-892.578,28.320,7.812
1642605324.401,11.230,43.945,-547.363,11.230,52.246
1642605324.405,13.672,40.527,-714.844,11.719,42.969
1642605324.408,22.461,35.645,-958.496,19.043,20.020
1642605324.412,23.926,37.109,-710.449,30.273,42.480
1642605324.416,8.301,37.109,-529.785,12.207,57.617
1642605324.420,-1.953,36.621,-762.207,-2.441,13.672
1642605324.424,18.066,41.504,-825.684,18.555,30.273
1642605324.428,29.297,45.898,-591.797,31.738,51.270
1642605324.445,20.508,41.992,-555.176,22.461,14.648
1642605324.449,13.672,40.039,-602.051,4.883,54.688
1642605324.453,20.996,39.551,-612.793,6.348,24.414
1642605324.457,35.156,37.598,-509.277,28.320,20.020
1642605324.461,29.297,36.621,-500.977,28.320,53.711
1642605324.465,12.695,37.109,-673.828,11.230,47.852
1642605324.468,16.602,34.668,-781.738,10.742,37.109
1642605324.472,29.785,34.668,-721.680,29.297,31.738
1642605324.476,21.484,38.086,-511.230,42.969,72.266
1642605324.480,1.465,37.109,-759.277,27.832,13.184
1642605324.484,-3.418,34.668,-845.215,16.602,-39.062
1642605324.488,12.207,38.086,-518.555,31.250,3.906
1642605324.490,14.648,35.645,-606.445,42.969,10.742
1642605324.494,0.000,32.715,-673.828,31.738,24.902
1642605324.498,-0.977,36.133,-558.105,19.531,25.879
1642605324.502,17.578,39.551,-470.703,28.809,21.973
1642605324.506,27.832,37.598,-572.266,39.551,9.766
1642605324.510,15.625,33.691,-750.000,31.250,11.719
1642605324.513,0.000,33.691,-775.391,11.230,45.898
1642605324.517,7.324,38.086,-641.602,10.254,43.945
1642605324.521,18.066,37.109,-692.871,27.344,25.391
1642605324.525,6.836,32.715,-903.320,26.367,22.949
1642605324.529,-4.883,39.551,-718.750,11.719,19.043
1642605324.533,-0.977,44.922,-539.551,8.301,49.316
1642605324.535,9.277,42.969,-646.973,17.090,41.992
1642605324.539,8.301,42.480,-598.145,21.973,29.297
1642605324.543,-5.859,43.945,-558.105,6.836,68.359
1642605324.547,-10.254,43.945,-675.293,-1.465,69.824
1642605324.551,9.277,38.574,-707.031,10.254,51.270
1642605324.555,20.508,38.574,-796.875,22.461,16.602
1642605324.558,4.883,37.109,-780.273,19.531,2.930
1642605324.562,-7.812,34.668,-696.777,7.812,11.719
1642605324.566,-0.488,34.180,-838.867,15.625,-23.926
1642605324.570,6.348,32.715,-931.152,27.344,-62.988
1642605324.574,-1.465,40.527,-683.594,23.926,-38.086
1642605324.578,-8.789,41.016,-673.340,12.207,-7.812
1642605324.580,4.883,37.598,-804.199,9.766,27.832
1642605324.584,20.508,41.504,-688.477,27.832,27.344
1642605324.588,14.160,39.551,-555.664,32.715,41.016
1642605324.592,-3.906,37.109,-655.273,5.371,60.059
1642605324.596,-4.883,41.992,-730.469,-10.742,82.520
1642605324.600,12.207,41.016,-784.668,-4.395,91.309
1642605324.603,20.508,41.016,-908.691,0.977,40.527
1642605324.607,13.184,44.434,-911.133,-6.836,62.500
1642605324.611,3.906,37.598,-982.422,-28.320,15.137
1642605324.615,0.977,36.621,-899.902,-30.762,14.648
1642605324.619,6.348,38.574,-728.516,-14.160,78.125
1642605324.623,0.488,36.133,-851.074,-13.672,0.977
1642605324.625,-15.625,35.156,-916.992,-37.598,-30.762
1642605324.629,0.977,33.691,-731.934,-29.785,-2.441
1642605324.633,23.926,33.691,-665.527,-3.906,24.902
1642605324.637,17.090,34.180,-741.211,-12.207,2.930
1642605324.641,4.395,38.086,-745.605,-28.809,-36.621
1642605324.645,10.742,37.598,-760.254,-24.902,-42.969
1642605324.648,23.926,35.645,-778.809,-0.488,-19.531
1642605324.652,18.066,27.832,-854.980,-0.977,-33.203
1642605324.656,5.371,24.414,-957.031,-22.461,-60.547
1642605324.660,11.719,34.668,-714.355,-17.090,-55.664
1642605324.664,29.297,37.109,-539.062,6.836,-2.441
1642605324.668,33.203,31.738,-688.477,19.531,3.906
1642605324.671,24.902,32.715,-621.094,4.395,-30.273
1642605324.675,20.996,36.621,-441.406,-4.395,4.883
1642605324.679,36.133,32.715,-565.918,14.160,-10.742
1642605324.683,46.387,28.320,-651.367,27.344,-37.109
1642605324.687,33.691,25.391,-577.148,21.484,-10.742
1642605324.691,22.949,21.484,-664.062,6.348,29.785
1642605324.694,27.832,14.648,-798.340,7.324,-15.625
1642605324.698,39.551,11.230,-929.199,25.879,-85.938
1642605324.702,36.621,16.113,-750.977,27.832,-41.992
1642605324.706,25.879,17.578,-572.266,12.695,-20.996
1642605324.710,21.973,14.160,-682.617,4.395,-15.137
1642605324.714,29.785,15.625,-725.586,19.043,-2.930
1642605324.731,33.203,19.531,-560.547,35.156,29.297
1642605324.735,19.531,16.113,-497.070,20.996,44.434
1642605324.739,12.695,9.277,-662.598,7.324,28.320
1642605324.743,21.484,9.766,-635.254,13.672,57.617
1642605324.747,25.879,16.602,-486.816,27.344,31.250
1642605324.751,12.207,19.043,-621.582,22.949,-11.719
1642605324.754,-1.465,12.695,-860.352,5.371,4.395
1642605324.758,15.625,12.695,-937.012,9.766,-7.324
1642605324.762,34.180,18.066,-700.195,23.438,-32.227
1642605324.766,23.926,15.625,-576.172,31.250,-19.043
1642605324.770,11.719,14.648,-645.996,19.531,-19.531
1642605324.774,15.137,15.137,-598.633,20.508,-41.992
1642605324.761,30.762,16.113,-501.465,43.457,-26.367
1642605324.765,23.438,20.508,-573.242,40.039,-24.902
1642605324.769,4.395,19.043,-668.457,17.090,-19.043
1642605324.773,5.859,15.625,-628.418,3.906,-22.461
1642605324.777,25.391,15.625,-610.352,19.531,-33.203
1642605324.781,27.832,13.184,-787.109,33.691,-7.324
1642605324.784,9.277,17.090,-819.824,14.648,4.883
1642605324.788,6.348,24.414,-670.410,0.488,-5.371
1642605324.792,19.043,25.879,-621.582,15.625,-11.230
1642605324.796,22.949,20.996,-745.117,23.438,-21.484
1642605324.800,1.953,14.160,-971.191,2.930,-44.434
1642605324.804,-6.348,18.066,-860.840,-12.207,-24.414
1642605324.821,6.836,18.066,-648.926,1.465,32.227
1642605324.825,16.113,13.184,-779.785,19.531,19.531
1642605324.829,2.930,11.230,-876.465,13.184,-8.301
1642605324.833,-13.184,12.695,-681.152,-4.883,10.742
1642605324.837,-5.859,12.207,-679.688,-1.953,0.000
1642605324.841,5.371,6.836,-872.559,19.043,-8.301
1642605324.844,1.953,4.883,-941.895,18.066,-19.531
1642605324.848,-7.812,8.301,-743.164,2.930,-10.254
1642605324.852,-8.301,10.254,-603.516,13.184,35.645
1642605324.856,3.906,14.648,-721.191,32.715,0.488
1642605324.860,14.648,17.578,-721.191,44.434,12.207
1642605324.864,12.207,21.973,-586.914,45.410,58.594
1642605324.865,8.301,25.391,-671.875,34.180,12.695
1642605324.869,16.113,21.484,-744.629,41.016,-4.395
1642605324.873,18.555,21.484,-648.438,50.781,6.836
1642605324.877,6.836,25.391,-583.008,39.062,4.395
1642605324.881,8.789,30.273,-703.125,26.855,5.371
1642605324.885,44.434,29.785,-896.973,46.387,-7.324
1642605324.888,37.598,23.438,-878.418,52.734,-9.766
1642605324.892,-12.695,20.020,-868.164,19.043,37.109
1642605324.896,-36.133,21.484,-928.711,-3.906,21.484
1642605324.900,-38.086,17.090,-973.633,-5.859,-17.090
1642605324.904,-37.598,12.695,-949.219,-1.465,38.574
1642605324.908,-51.758,16.602,-864.258,-7.812,86.914
1642605324.910,-79.102,15.625,-894.043,-36.621,87.402
1642605324.914,-84.961,8.789,-977.539,-55.176,48.828
1642605324.918,-59.082,10.254,-967.773,-40.039,-3.418
1642605324.922,-46.875,14.648,-967.773,-23.438,42.969
1642605324.926,-59.570,8.789,-969.238,-40.039,83.984
1642605324.930,-64.941,3.906,-968.750,-53.711,23.438
1642605324.933,-43.945,8.789,-971.191,-29.785,10.254
1642605324.937,-26.855,10.742,-956.055,-10.742,21.973
1642605324.941,-32.715,9.277,-958.496,-10.254,-36.133
1642605324.945,-35.645,14.160,-954.102,-24.902,-34.668
1642605324.949,-19.531,20.996,-960.449,-23.438,-2.930
1642605324.953,-4.395,21.973,-927.734,1.953,-3.906
1642605324.955,-9.766,16.113,-942.383,-0.488,14.160
1642605324.959,-17.578,17.090,-936.523,-18.555,-8.789
1642605324.963,-5.371,21.484,-823.730,-19.531,8.789
1642605324.967,7.324,18.555,-855.469,-0.488,26.855
1642605324.971,1.953,16.113,-915.039,18.066,21.973
1642605324.975,-8.301,20.508,-935.059,-0.977,48.340
