timestamps,TP9,AF7,AF8,TP10,Right AUX
1641936952.196,42.969,22.461,69.824,37.598,28.320
1641936952.200,38.086,27.344,236.816,13.184,49.805
1641936952.204,51.270,25.879,291.992,18.066,69.336
1641936952.208,59.082,20.508,237.793,50.293,82.031
1641936952.212,41.016,17.090,-141.113,51.758,48.828
1641936952.216,34.668,33.691,-86.914,31.738,38.574
1641936952.232,43.945,33.691,232.910,21.973,82.520
1641936952.236,51.270,30.273,151.367,44.434,84.961
1641936952.240,45.410,38.086,182.129,62.988,67.871
1641936952.244,30.762,32.715,253.418,37.598,67.383
1641936952.248,39.062,28.320,196.289,32.715,70.801
1641936952.252,57.617,22.949,4.395,54.688,100.098
1641936952.255,47.363,27.832,-85.938,56.152,79.102
1641936952.259,20.508,38.574,12.695,42.480,26.855
1641936952.263,22.461,40.039,110.352,33.691,58.594
1641936952.267,49.316,36.621,-54.199,42.480,70.312
1641936952.271,61.523,40.527,-113.770,56.641,82.520
1641936952.275,41.504,47.363,172.363,48.828,91.309
1641936952.278,28.320,37.109,125.000,30.762,63.477
1641936952.282,45.898,39.551,71.777,31.738,90.820
1641936952.286,54.688,43.457,141.113,48.828,96.191
1641936952.290,38.574,36.621,191.895,44.434,89.844
1641936952.294,29.785,22.949,63.965,24.414,76.172
1641936952.298,41.504,19.043,-147.949,21.484,66.895
1641936952.301,61.523,40.527,-185.059,43.945,50.293
1641936952.305,51.758,47.852,29.785,58.105,43.457
1641936952.309,20.508,34.668,42.480,32.227,60.059
1641936952.313,13.672,31.738,-403.809,20.020,26.855
1641936952.317,36.133,44.434,-312.500,39.062,49.316
1641936952.321,36.621,45.410,113.770,52.246,108.398
1641936952.323,7.812,40.039,47.363,40.039,109.863
1641936952.327,2.930,44.434,-29.297,21.973,85.449
1641936952.331,23.438,41.016,86.914,30.762,59.082
1641936952.335,28.809,30.762,123.047,46.387,38.574
1641936952.339,5.859,26.367,41.504,37.109,63.965
1641936952.343,-10.254,23.926,-92.773,15.625,47.363
1641936952.346,13.672,18.066,-139.160,14.648,44.434
1641936952.350,38.574,20.020,-0.977,36.621,64.453
1641936952.354,21.973,20.996,-120.117,44.922,63.477
1641936952.358,11.230,35.645,-261.719,26.367,89.844
1641936952.362,47.363,43.457,53.711,28.809,104.492
1641936952.366,78.125,30.762,92.285,71.777,115.723
1641936952.367,56.152,41.992,-28.320,81.055,104.980
1641936952.371,18.066,44.922,41.992,39.551,69.824
1641936952.375,34.668,36.133,107.422,32.715,67.871
1641936952.379,73.242,35.156,59.082,58.594,62.500
1641936952.383,71.289,35.645,41.016,66.895,85.938
1641936952.387,50.293,29.297,-18.066,51.270,78.125
1641936952.390,56.641,35.645,-95.703,37.109,49.316
1641936952.394,77.637,36.133,-25.879,47.852,83.008
1641936952.398,75.684,33.203,-214.844,62.988,55.176
1641936952.402,67.871,50.293,-95.703,60.547,55.176
1641936952.406,59.082,49.805,153.809,42.969,60.059
1641936952.410,68.359,50.293,16.113,33.203,7.812
1641936952.412,86.914,47.852,-1.953,48.828,-6.348
1641936952.416,70.312,43.457,124.512,51.758,-7.812
1641936952.420,46.875,37.109,45.898,27.832,-11.719
1641936952.424,37.109,30.762,-183.105,22.461,-0.977
1641936952.428,36.133,33.691,-101.074,28.809,24.414
1641936952.432,27.832,33.691,-4.395,32.227,55.176
1641936952.435,10.742,33.203,-69.824,18.555,76.660
1641936952.439,1.465,24.414,-283.691,1.465,27.832
1641936952.443,21.484,31.738,-367.188,17.578,-31.250
1641936952.447,36.133,47.363,74.707,37.598,28.320
1641936952.451,11.719,31.250,207.520,26.367,51.758
1641936952.455,-0.488,21.973,53.711,1.465,31.738
1641936952.458,22.461,24.902,17.090,4.883,24.414
1641936952.462,37.598,24.414,90.332,32.715,21.484
1641936952.466,15.625,21.484,39.062,38.086,44.922
1641936952.470,4.883,29.785,-21.484,21.484,48.828
1641936952.474,28.809,35.156,98.145,8.301,49.316
1641936952.478,46.875,29.785,64.941,23.926,67.871
1641936952.481,22.461,26.367,-106.445,41.992,48.828
1641936952.485,-5.371,32.227,-189.453,19.043,30.273
1641936952.489,2.930,43.945,-52.246,0.977,21.484
1641936952.493,22.461,38.574,129.395,5.859,14.160
1641936952.497,12.695,23.438,53.223,9.277,-7.812
1641936952.501,-20.508,18.555,-319.824,-8.789,-17.090
1641936952.503,-9.766,28.320,-175.293,-25.879,10.254
1641936952.507,25.879,27.832,116.699,-3.906,30.273
1641936952.511,30.762,31.250,5.859,17.090,55.664
1641936952.515,0.977,35.156,34.668,1.953,60.547
1641936952.519,-5.371,30.762,125.488,-11.719,67.871
1641936952.523,18.555,26.855,11.230,-9.277,76.660
1641936952.526,26.855,22.949,-233.887,6.836,47.363
1641936952.530,13.672,24.414,-310.059,3.906,13.672
1641936952.534,7.324,25.391,-129.395,-12.695,34.668
